Rank,Title,OA,Country,SJR-index,CiteScore,H-index,Best Quartile,Best Categories,Best Subject Area,Best Subject Rank,Total Docs.,Total Docs. 3y,Total Refs.,Total Cites 3y,Citable Docs. 3y,Cites/Doc. 2y,Refs./Doc.,Publisher,Core Collection,Coverage,Active,In-Press,ISO Language Code,ASJC Codes,Life Sciences,Social Sciences,Physical Sciences,Health Sciences,1000 General,1100 Agricultural and Biological Sciences,1200 Arts and Humanities,"1300 Biochemistry, Genetics and Molecular Biology","1400 Business, Management and Accounting",1500 Chemical Engineering,1600 Chemistry,1700 Computer Science,1800 Decision Sciences,1900 Earth and Planetary Sciences,"2000 Economics, Econometrics and Finance",2100 Energy,2200 Engineering,2300 Environmental Science,2400 Immunology and Microbiology,2500 Materials Science,2600 Mathematics,2700 Medicine,2800 Neuroscience,2900 Nursing,"3000 Pharmacology, Toxicology and Pharmaceutics",3100 Physics and Astronomy,3200 Psychology,3300 Social Sciences,3400 Veterinary,3500 Dentistry,3600 Health Professions
186,Cell Reports Medicine,True,United States,5.841,12.7,37,Q1,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)']","Biochemistry, Genetics and Molecular Biology",46,285,304,12144,3640,295,11.97,42.61,Cell Press,Science Citation Index Expanded,2020,True,True,ENG,['1300'],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Review of Educational Research,False,United States,5.804,21.9,174,Q1,['Education'],Social Sciences,12,37,72,4914,1345,71,15.24,132.81,Sage Publications Inc,Social Sciences Citation Index,1931,True,False,ENG,['3304'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,Fungal Diversity,False,Netherlands,5.784,44.9,113,Q1,"['Ecology, Evolution, Behavior and Systematics', 'Plant Science']",Agricultural and Biological Sciences,6,18,69,7054,1494,67,17.49,391.89,Springer,Science Citation Index Expanded,1998,True,True,ENG,"['2303', ' 1105']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Genes and Development,False,United States,5.769,19.5,467,Q1,"['Developmental Biology', 'Genetics']","Biochemistry, Genetics and Molecular Biology",47,87,376,5564,3809,373,9.28,63.95,,,1987,True,False,ENG,"['1309', ' 1311']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,IEEE Transactions on Evolutionary Computation,False,United States,5.767,25.5,199,Q1,['Theoretical Computer Science'],Mathematics,8,234,245,6634,4366,242,13.83,28.35,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,1997,True,True,ENG,"['1703', ' 2614', ' 1712']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,Journal of Econometrics,False,Netherlands,5.744,7.2,177,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",26,236,501,10836,2804,484,5.48,45.92,Elsevier Science Sa,Science Citation Index Expanded | Social Sciences Citation Index,1973,True,True,ENG,"['2604', ' 2002']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Personality and Social Psychology Review,False,United States,5.709,26.6,177,Q1,['Social Psychology'],Psychology,7,19,43,3643,716,43,12.86,191.74,Sage Publications Inc,Social Sciences Citation Index,1997,True,False,ENG,['3207'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,Physics Reports,False,Netherlands,5.691,52.3,306,Q1,['Physics and Astronomy (miscellaneous)'],Physics and Astronomy,17,52,156,19968,4249,156,29.5,384.0,,,1971,True,True,ENG,['3100'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
194,Review of Finance,False,United Kingdom,5.68,7.1,72,Q1,['Accounting'],"Business, Management and Accounting",18,30,114,1581,620,114,4.86,52.7,Oxford Univ Press,Social Sciences Citation Index,2001,True,False,ENG,"['2003', ' 2002', ' 1402']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Progress in Energy and Combustion Science,False,United Kingdom,5.679,59.0,212,Q1,"['Energy Engineering and Power Technology', 'Fuel Technology']",Energy,8,38,91,14615,3317,91,31.82,384.61,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded,1975,True,True,ENG,"['2102', ' 2103', ' 1500']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Progress in Polymer Science,False,United Kingdom,5.676,53.7,313,Q1,['Organic Chemistry'],Chemistry,10,45,173,13042,5191,171,26.75,289.82,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded,1967,True,True,ENG,"['2505', ' 1605', ' 2507', ' 3110', ' 2503']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
197,IEEE Transactions on Wireless Communications,False,United States,5.662,16.9,241,Q1,['Applied Mathematics'],Mathematics,9,949,1588,31379,18793,1587,11.49,33.07,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,2002,True,True,ENG,"['2604', ' 2208', ' 1706']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,Annual Review of Entomology,False,United States,5.655,38.6,217,Q1,"['Ecology, Evolution, Behavior and Systematics', 'Insect Science']",Agricultural and Biological Sciences,7,25,72,3306,1531,69,23.56,132.24,Annual Reviews,Science Citation Index Expanded,1961,True,False,ENG,"['1109', ' 1105']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Nature Human Behaviour,False,United Kingdom,5.639,26.5,79,Q1,['Behavioral Neuroscience'],Neuroscience,7,223,666,10311,9097,442,18.24,46.24,Nature Portfolio,Science Citation Index Expanded | Social Sciences Citation Index,2017,True,True,ENG,"['2802', ' 3205', ' 3207']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
200,Trends in Cognitive Sciences,False,United Kingdom,5.615,30.4,339,Q1,['Cognitive Neuroscience'],Neuroscience,8,129,369,9628,5072,304,11.69,74.64,Cell Press,Science Citation Index Expanded | Social Sciences Citation Index,1997,True,True,ENG,"['2805', ' 3205', ' 3206']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
201,European Journal of Heart Failure,False,United States,5.601,26.9,156,Q1,['Cardiology and Cardiovascular Medicine'],Medicine,73,350,961,10837,8096,500,8.2,30.96,Wiley,Science Citation Index Expanded,1999,True,True,ENG,['2705'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
202,Angewandte Chemie - International Edition,False,United Kingdom,5.573,26.3,612,Q1,['Catalysis'],Chemical Engineering,11,3358,9896,219007,157802,9715,16.04,65.22,,,1962,True,True,ENG,"['1600', ' 1503']",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Advanced Functional Materials,False,Germany,5.565,27.9,376,Q1,"['Chemistry (miscellaneous)', 'Electrochemistry']",Chemistry,12,2342,5461,165514,107981,5431,19.41,70.67,Wiley-V C H Verlag Gmbh,Science Citation Index Expanded,2000,True,True,ENG,"['1603', ' 3104', ' 2502', ' 2504']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
204,Proceedings of the IEEE,False,United States,5.564,31.6,312,Q1,['Computer Science (miscellaneous)'],Computer Science,11,105,344,11399,7177,336,21.58,108.56,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,1963,True,True,ENG,['2208'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Perspectives on Psychological Science,False,United States,5.529,18.4,168,Q1,['Psychology (miscellaneous)'],Psychology,10,147,259,15307,3703,255,14.17,104.13,Sage Publications Ltd,Social Sciences Citation Index,2006,True,False,ENG,['3200'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
206,Nature Chemical Biology,False,United Kingdom,5.509,23.4,246,Q1,"['Cell Biology', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",48,256,699,8544,6267,518,8.81,33.38,Nature Portfolio,Science Citation Index Expanded,2005,True,True,ENG,"['1307', ' 1312']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,EMBO Journal,False,Germany,5.484,20.5,417,Q1,['Neuroscience (miscellaneous)'],Neuroscience,9,267,891,19133,9151,769,10.0,71.66,Wiley,Science Citation Index Expanded,1982,True,True,ENG,"['2400', ' 1300', ' 1312', ' 2800']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
208,Review of Corporate Finance Studies,False,United States,5.448,13.7,22,Q1,['Business and International Management'],"Business, Management and Accounting",19,19,55,811,616,55,12.39,42.68,Oxford Univ Press,Emerging Sources Citation Index,2012,True,False,ENG,"['2002', ' 2003', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Annual Review of Microbiology,False,United States,5.436,24.0,206,Q1,['Microbiology'],Immunology and Microbiology,15,36,105,4701,1507,102,10.77,130.58,Annual Reviews,Science Citation Index Expanded,1948,True,False,ENG,['2404'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,Journal of the National Cancer Institute,False,United Kingdom,5.409,18.3,377,Q1,['Cancer Research'],"Biochemistry, Genetics and Molecular Biology",50,256,656,6552,4987,463,6.92,25.59,,,1940,True,False,ENG,"['1306', ' 2730']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
211,Light: Science and Applications,True,United Kingdom,5.406,25.2,132,Q1,"['Electronic, Optical and Magnetic Materials']",Materials Science,17,336,521,15394,9655,466,17.79,45.82,,,2012,True,False,ENG,"['3107', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
212,Developmental Cell,False,United States,5.385,20.3,286,Q1,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Cell Biology', 'Developmental Biology', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",51,221,911,14673,8035,800,8.16,66.39,Cell Press,Science Citation Index Expanded,2001,True,True,ENG,"['1309', ' 1307', ' 1300', ' 1312']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Journal of Financial Intermediation,False,United States,5.384,7.1,87,Q1,"['Economics and Econometrics', 'Finance']","Economics, Econometrics and Finance",29,38,86,1924,450,83,5.44,50.63,Academic Press Inc Elsevier Science,Social Sciences Citation Index,1990,True,True,ENG,"['2002', ' 2003']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Nature Ecology and Evolution,False,United States,5.374,24.9,101,Q1,"['Ecology, Evolution, Behavior and Systematics']",Agricultural and Biological Sciences,8,300,801,14549,8460,555,10.1,48.5,,,2016,True,True,ENG,"['2303', ' 1105']",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,IEEE Transactions on Cybernetics,False,United States,5.365,22.3,162,Q1,"['Computer Science Applications', 'Human-Computer Interaction', 'Information Systems', 'Software']",Computer Science,12,1564,1402,54875,21483,1402,14.77,35.09,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,2013,True,True,ENG,"['2208', ' 1706', ' 1709', ' 1710', ' 2207', ' 1712']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,JACC: Heart Failure,False,Netherlands,5.352,22.4,92,Q1,['Cardiology and Cardiovascular Medicine'],Medicine,77,164,550,2723,3196,239,5.64,16.6,,,2013,True,True,ENG,['2705'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
217,Pharmacological Reviews,False,United States,5.338,30.7,247,Q1,['Pharmacology'],"Pharmacology, Toxicology and Pharmaceutics",2,37,87,12754,1791,87,20.77,344.7,Amer Soc Pharmacology Experimental Therapeutics,Science Citation Index Expanded,1949,True,False,ENG,"['3004', ' 1313']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
218,Foundations and Trends in Computer Graphics and Vision,False,United States,5.329,21.2,27,Q1,['Computer Vision and Pattern Recognition'],Computer Science,13,1,4,195,110,4,50.0,195.0,Now Publishers Inc,Emerging Sources Citation Index,2005,True,False,ENG,['1707'],0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Management Science,True,United States,5.322,7.9,278,Q1,['Management Science and Operations Research'],Decision Sciences,5,441,1000,23305,6501,992,5.64,52.85,Informs,Science Citation Index Expanded | Social Sciences Citation Index,1969,True,False,ENG,"['1803', ' 1408']",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Cement and Concrete Research,False,United Kingdom,5.294,19.8,262,Q1,['Building and Construction'],Engineering,16,304,776,21043,10733,766,12.35,69.22,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded,1971,True,True,ENG,"['2500', ' 2215']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,IEEE Communications Magazine,False,United States,5.285,21.1,272,Q1,"['Computer Networks and Communications', 'Computer Science Applications']",Computer Science,14,199,686,1904,6869,561,10.39,9.57,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,1979,True,True,ENG,"['2208', ' 1705', ' 1706']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Nano-Micro Letters,True,Netherlands,5.276,32.6,88,Q1,['Electrical and Electronic Engineering'],Engineering,18,221,491,17881,11897,489,24.97,80.91,Shanghai Jiao Tong Univ Press,Science Citation Index Expanded,2009,True,False,ENG,"['2208', ' 2508', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,Annals of Statistics,False,United States,5.219,7.7,180,Q1,"['Statistics, Probability and Uncertainty']",Decision Sciences,6,142,423,7521,2147,419,4.22,52.96,Inst Mathematical Statistics-Ims,Science Citation Index Expanded,1996,True,False,ENG,"['1804', ' 2613']",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,Molecular Plant,False,United States,5.209,29.5,146,Q1,['Plant Science'],Agricultural and Biological Sciences,9,189,514,9545,8378,441,17.37,50.5,Cell Press,Science Citation Index Expanded,2008,True,True,ENG,"['1110', ' 1312']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Nature Plants,False,United Kingdom,5.205,24.1,111,Q1,['Plant Science'],Agricultural and Biological Sciences,10,219,706,7197,6762,446,9.72,32.86,Nature Portfolio,Science Citation Index Expanded,2010,True,False,ENG,['1110'],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Studies in Mycology,True,Netherlands,5.202,59.3,110,Q1,"['Agricultural and Biological Sciences (miscellaneous)', 'Plant Science']",Agricultural and Biological Sciences,11,0,37,0,816,36,15.72,0.0,Westerdijk Fungal Biodiversity Inst,Science Citation Index Expanded,1996,True,False,ENG,['1101'],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Annual Review of Genomics and Human Genetics,False,United States,5.196,15.1,126,Q1,"['Genetics', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",54,28,64,3640,644,64,8.83,130.0,Annual Reviews,Science Citation Index Expanded,2000,True,False,ENG,"['2716', ' 1311', ' 1312']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
228,Energy Storage Materials,False,Netherlands,5.179,30.4,131,Q1,"['Energy Engineering and Power Technology', 'Renewable Energy, Sustainability and the Environment']",Energy,9,614,1429,48444,28881,1421,20.44,78.9,Elsevier,Science Citation Index Expanded,2015,True,False,ENG,"['2102', ' 2500', ' 2105']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,Analytic Methods in Accident Research,False,United Kingdom,5.17,19.7,48,Q1,"['Safety Research', 'Transportation']",Social Sciences,13,32,74,2422,1012,74,13.27,75.69,Elsevier,Social Sciences Citation Index,2014,True,True,ENG,"['3311', ' 3313']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,Journal of Accounting Research,False,United Kingdom,5.165,5.8,158,Q1,['Accounting'],"Business, Management and Accounting",21,50,101,3359,539,101,4.77,67.18,Wiley,Social Sciences Citation Index,1996,True,True,ENG,"['2002', ' 2003', ' 1402']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Molecular Neurodegeneration,True,United Kingdom,5.158,25.0,103,Q1,['Cellular and Molecular Neuroscience'],Neuroscience,10,81,192,9480,3203,190,13.63,117.04,Bmc,Science Citation Index Expanded,2006,True,False,ENG,"['2804', ' 2728', ' 1312']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
232,American Economic Journal: Microeconomics,False,United States,5.156,3.9,49,Q1,"['Economics, Econometrics and Finance (miscellaneous)']","Economics, Econometrics and Finance",31,57,121,2533,305,121,1.69,44.44,,,2009,True,False,ENG,['2000'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Trends in Ecology and Evolution,False,United Kingdom,5.127,26.9,370,Q1,"['Ecology, Evolution, Behavior and Systematics']",Agricultural and Biological Sciences,12,140,427,8360,4729,331,9.93,59.71,,,1986,True,True,ENG,['1105'],1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,IEEE Transactions on Smart Grid,False,United States,5.118,23.6,211,Q1,['Computer Science (miscellaneous)'],Computer Science,15,521,1461,15031,19016,1458,11.5,28.85,Ieee-Inst Electrical Electronics Engineers Inc,Science Citation Index Expanded,2010,True,True,ENG,['1700'],0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Journal of Clinical Investigation,True,United States,5.117,23.7,527,Q1,['Medicine (miscellaneous)'],Medicine,80,533,1754,28750,21826,1711,11.96,53.94,Amer Soc Clinical Investigation Inc,Science Citation Index Expanded,1945,True,False,ENG,['2700'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,Nature Communications,True,United Kingdom,5.116,24.9,466,Q1,['Chemistry (miscellaneous)'],Chemistry,13,7717,18679,459949,301272,18386,15.41,59.6,Nature Portfolio,Science Citation Index Expanded,2010,True,False,ENG,"['3100', ' 1300', ' 1600', ' 1000']",1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237,JAMA Pediatrics,True,United States,5.109,28.6,209,Q1,"['Pediatrics, Perinatology and Child Health']",Medicine,81,352,1188,6681,7270,376,6.41,18.98,Amer Medical Assoc,Science Citation Index Expanded,2013,True,False,ENG,['2735'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,Journal of Public Economics,False,Netherlands,5.1,10.9,164,Q1,"['Economics and Econometrics', 'Finance']","Economics, Econometrics and Finance",32,130,382,6866,3444,380,10.6,52.82,Elsevier Science Sa,Social Sciences Citation Index,1972,True,True,ENG,"['2002', ' 2003']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Annual Review of Marine Science,False,United States,5.097,31.2,115,Q1,['Oceanography'],Earth and Planetary Sciences,5,21,69,2792,1128,65,17.04,132.95,Annual Reviews,Science Citation Index Expanded,2009,True,False,ENG,['1910'],0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Journal of International Business Studies,False,United Kingdom,5.093,16.3,219,Q1,"['Business and International Management', 'Business, Management and Accounting (miscellaneous)', 'Management of Technology and Innovation', 'Strategy and Management']","Business, Management and Accounting",22,123,233,12105,3148,199,11.76,98.41,Palgrave Macmillan Ltd,Social Sciences Citation Index,1975,True,True,ENG,"['1405', ' 1408', ' 2002', ' 1400', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Nano Energy,False,Netherlands,5.03,29.3,227,Q1,"['Renewable Energy, Sustainability and the Environment']",Energy,10,1187,3163,71281,58153,3162,17.93,60.05,Elsevier,Science Citation Index Expanded,2012,True,True,ENG,"['2208', ' 2500', ' 2105']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
242,Journal of Business Venturing,False,United States,5.029,17.3,211,Q1,"['Business and International Management', 'Management of Technology and Innovation']","Business, Management and Accounting",23,54,178,6515,2420,178,10.72,120.65,Elsevier,Social Sciences Citation Index,1985,True,True,ENG,"['1405', ' 1403']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Journal of Service Research,False,United States,4.981,17.2,137,Q1,['Sociology and Political Science'],Social Sciences,14,53,95,4274,1416,85,15.36,80.64,Sage Publications Inc,Social Sciences Citation Index,1998,True,False,ENG,"['1407', ' 3312', ' 1710']",0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
244,Evidence-Based Mental Health,False,United Kingdom,4.969,18.1,43,Q1,['Psychiatry and Mental Health'],Medicine,82,41,106,1034,1174,81,4.5,25.22,,,1998,True,True,ENG,['2738'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,American Journal of Political Science,False,United Kingdom,4.963,7.9,193,Q1,"['Political Science and International Relations', 'Sociology and Political Science']",Social Sciences,15,111,211,6201,1218,211,4.78,55.86,Wiley,Social Sciences Citation Index,1982,True,True,ENG,"['3320', ' 3312']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246,American Journal of Human Genetics,False,United States,4.943,17.2,321,Q1,['Genetics'],"Biochemistry, Genetics and Molecular Biology",57,178,562,9115,5227,521,8.26,51.21,Cell Press,Science Citation Index Expanded,1950,True,True,ENG,"['2716', ' 1311']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,Progress in Retinal and Eye Research,False,United Kingdom,4.939,31.1,174,Q1,['Sensory Systems'],Neuroscience,11,74,142,21775,2837,141,18.5,294.26,Pergamon-Elsevier Science Ltd,Science Citation Index Expanded,1990,True,True,ENG,"['2809', ' 2731']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
248,Blood,False,United States,4.927,21.9,506,Q1,['Immunology'],Immunology and Microbiology,16,900,2535,30720,21405,1757,8.23,34.13,Amer Soc Hematology,Science Citation Index Expanded,1946,True,False,ENG,"['1307', ' 2720', ' 2403', ' 1303']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
249,JAMA Internal Medicine,False,United States,4.922,43.2,375,Q1,['Internal Medicine'],Medicine,86,358,1553,5067,9023,501,6.59,14.15,Amer Medical Assoc,Science Citation Index Expanded,2013,True,False,ENG,['2724'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250,International Journal of Information Management,False,United Kingdom,4.906,41.9,152,Q1,['Information Systems and Management'],Decision Sciences,7,88,546,9622,13606,529,24.41,109.34,Elsevier Sci Ltd,Social Sciences Citation Index,1970,True,True,ENG,"['3309', ' 1705', ' 1710']",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
251,Genome Research,False,United States,4.906,14.6,319,Q1,['Genetics'],"Biochemistry, Genetics and Molecular Biology",59,164,524,9134,4106,523,6.7,55.7,Cold Spring Harbor Lab Press,Science Citation Index Expanded,1991,True,False,ENG,"['2716', ' 1311']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
252,Acta Neuropathologica,False,Germany,4.897,24.8,200,Q1,['Cellular and Molecular Neuroscience'],Neuroscience,12,126,425,7276,4730,338,10.34,57.75,Springer,Science Citation Index Expanded,1961,True,True,ENG,"['2804', ' 2728', ' 2734']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
253,Matter,False,United States,4.896,22.6,63,Q1,['Materials Science (miscellaneous)'],Materials Science,22,357,795,17087,9601,644,11.5,47.86,Cell Press,Science Citation Index Expanded,2019,True,True,ENG,['2500'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
254,Applied Catalysis B: Environmental,False,Netherlands,4.887,37.9,301,Q1,['Environmental Science (miscellaneous)'],Environmental Science,11,1065,3252,61196,73612,3248,22.66,57.46,,,1992,True,True,ENG,"['1508', ' 2300', ' 1503']",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Progress in Particle and Nuclear Physics,False,Netherlands,4.855,26.6,124,Q1,['Nuclear and High Energy Physics'],Physics and Astronomy,22,30,111,13377,1336,111,10.09,445.9,Elsevier,Science Citation Index Expanded,1978,True,True,ENG,['3106'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
